action,reason,source_path,kept_path,date,image_index,format,width,height
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-12-06_science-environment-67544977_img04.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-12-06_science-environment-67544977_img04.png,2023-12-06,4,PNG,1920,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-12-06_science-environment-67544977_img05.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-12-06_science-environment-67544977_img05.png,2023-12-06,5,PNG,1920,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-12-06_science-environment-67544977_img06.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2023-12-06_science-environment-67544977_img06.png,2023-12-06,6,PNG,1920,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2024-02-08_science-environment-68110310_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2024-02-08_science-environment-68110310_img02.png,2024-02-08,2,PNG,1920,1920
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2024-02-08_science-environment-68110310_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2024-02-08_science-environment-68110310_img03.png,2024-02-08,3,PNG,1920,1860
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2024-02-08_science-environment-68110310_img04.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2024-02-08_science-environment-68110310_img04.png,2024-02-08,4,PNG,1920,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2024-11-07_c1dpnxnvv2go_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2024-11-07_c1dpnxnvv2go_img02.png,2024-11-07,2,PNG,1920,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2024-11-07_c1dpnxnvv2go_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2024-11-07_c1dpnxnvv2go_img03.png,2024-11-07,3,PNG,1920,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-01-10_cd7575x8yq5o_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-01-10_cd7575x8yq5o_img02.png,2025-01-10,2,PNG,1920,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-01-10_cd7575x8yq5o_img03.jpg,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-01-10_cd7575x8yq5o_img03.jpg,2025-01-10,3,JPEG,2560,3734
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-01-10_cd7575x8yq5o_img04.jpg,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-01-10_cd7575x8yq5o_img04.jpg,2025-01-10,4,JPEG,1280,2414
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-01-17_c30dn5dn53jo_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-01-17_c30dn5dn53jo_img02.png,2025-01-17,2,PNG,1920,1350
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-03-17_cly3pnjyzp4o_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-03-17_cly3pnjyzp4o_img02.png,2025-03-17,2,PNG,1920,1620
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-05-20_cj93e40znl3o_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-05-20_cj93e40znl3o_img02.png,2025-05-20,2,PNG,1920,1920
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-08-31_c5yl5v4elgno_img02.jpg,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-08-31_c5yl5v4elgno_img02.jpg,2025-08-31,2,JPEG,976,915
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-08-31_c5yl5v4elgno_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-08-31_c5yl5v4elgno_img03.png,2025-08-31,3,PNG,1920,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-10-05_ce32ezzq6zlo_img02.jpg,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-10-05_ce32ezzq6zlo_img02.jpg,2025-10-05,2,JPEG,1280,1116
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-10-30_c04gqez4lkyo_img04.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-10-30_c04gqez4lkyo_img04.png,2025-10-30,4,PNG,1920,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-11-06_cwy1wjj0rxdt_img02.webp,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-11-06_cwy1wjj0rxdt_img02.webp,2025-11-06,2,WEBP,640,640
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-11-06_c30v97m59dyo_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-11-06_c30v97m59dyo_img03.png,2025-11-06,3,PNG,1600,1233
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-11-06_cwy1wjj0rxdt_img03.webp,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-11-06_cwy1wjj0rxdt_img03.webp,2025-11-06,3,WEBP,640,640
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-11-06_cwy1wjj0rxdt_img09.webp,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-11-06_cwy1wjj0rxdt_img09.webp,2025-11-06,9,WEBP,640,600
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-11-06_cwy1wjj0rxdt_img10.webp,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-11-06_cwy1wjj0rxdt_img10.webp,2025-11-06,10,WEBP,640,550
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-11-25_cgr10jj8xg2o_img03.jpg,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2025-11-25_cgr10jj8xg2o_img03.jpg,2025-11-25,3,JPEG,1920,1080
