article_id,newspaper,search_term,article_url,published_date,image_index,image_url,local_image_path,caption,credit
science-environment-58899006,BBC News,"""greenhouse gas""",https://www.bbc.co.uk/news/science-environment-58899006,,1,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/176DB/production/_121136959_optimised-emissions_tracker_2020_v3-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-58899006_img01.png,,
science-environment-61795783,BBC News,"""sea level""",https://www.bbc.co.uk/news/science-environment-61795783,,1,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/2B5B/production/_125399011_england_floods_map_640-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-61795783_img01.png,,
science-environment-62322574,BBC News,"""sea level""",https://www.bbc.co.uk/news/science-environment-62322574,,1,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/A97A/production/_126068334_top_ten_hottest_uk_days_1657_2x640-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-62322574_img01.png,,
science-environment-65602293,BBC News,"""global warming""",https://www.bbc.co.uk/news/science-environment-65602293,,1,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/5D2F/production/_129755832_avg_temp_change_chart-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-65602293_img01.png,,
science-environment-67171231,BBC News,"""sea level""",https://www.bbc.co.uk/news/science-environment-67171231,,1,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/0F6E/production/_131505930_antarctic_locatorv2-2x-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-67171231_img01.png,"Image caption, The West Antarctic Ice Sheet is considered highly vulnerable to rising temperatures, especially Thwaites Glacier",
science-environment-67171231,BBC News,"""sea level""",https://www.bbc.co.uk/news/science-environment-67171231,,2,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/367E/production/_131505931_antarctica_3d_glacier-nc_v2-2x-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-67171231_img02.png,,
uk-england-essex-64255567,BBC News,"""sea level""",https://www.bbc.co.uk/news/uk-england-essex-64255567,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/7432/production/_128364792_mapfloodareas.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_uk-england-essex-64255567_img01.jpg,"Image caption, A further 35 people died in Jaywick in north Essex",
uk-england-essex-64255567,BBC News,"""sea level""",https://www.bbc.co.uk/news/uk-england-essex-64255567,,2,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/0D65/production/_128292430_sea.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_uk-england-essex-64255567_img02.png,"Image caption, Annual flood levels are predicted to exceed the sea level along much of the Essex coast by 2050",
uk-england-merseyside-39419843,BBC News,"""sea level""",https://www.bbc.co.uk/news/uk-england-merseyside-39419843,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/D9B8/production/_95363755_mediaitem95363533.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_uk-england-merseyside-39419843_img01.jpg,"Image caption, Bramley Dock was built in 1848 for trading ships",
uk-northern-ireland-48338943,BBC News,"""carbon dioxide""",https://www.bbc.co.uk/news/uk-northern-ireland-48338943,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/7475/production/_107031892_warrenpointharbourgeo.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_uk-northern-ireland-48338943_img01.jpg,"Image caption, The new facility is being developed at Warrenpoint harbour",
uk-politics-18692139,BBC News,"""global warming""",https://www.bbc.co.uk/news/uk-politics-18692139,,1,https://ichef.bbci.co.uk/ace/standard/640/mcs/media/images/61330000/png/_61330750_graph.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_uk-politics-18692139_img01.png,"Image caption, Graph supplied by Friends of the Earth",
uk-scotland-53063990,BBC News,"""greenhouse gas""",https://www.bbc.co.uk/news/uk-scotland-53063990,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/15632/production/_112920678_5851881_ad1ab77d_original.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_uk-scotland-53063990_img01.jpg,"Image caption, The two reactors at Hunterston in North Ayrshire were closed down in 2018",
uk-scotland-53063990,BBC News,"""greenhouse gas""",https://www.bbc.co.uk/news/uk-scotland-53063990,,2,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/48AA/production/_112920681_4522145_4c3f105f_original.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_uk-scotland-53063990_img02.jpg,"Image caption, More electricity had to be produced at the gas-powered station in Peterhead",
uk-scotland-highlands-islands-49884457,BBC News,"""sea level""",https://www.bbc.co.uk/news/uk-scotland-highlands-islands-49884457,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/4915/production/_109090781_litternew.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_uk-scotland-highlands-islands-49884457_img01.jpg,"Image caption, A fishing net and a plastic bag were among the rubbish found in thickets of coral",
uk-scotland-highlands-islands-49884457,BBC News,"""sea level""",https://www.bbc.co.uk/news/uk-scotland-highlands-islands-49884457,,2,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/9735/production/_109090783_53ec3a50-0d95-4207-9477-45a2dfcec3c0.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_uk-scotland-highlands-islands-49884457_img02.jpg,"Image caption, Healthy corals were found during the survey",
uk-wales-58146128,BBC News,IPCC,https://www.bbc.co.uk/news/uk-wales-58146128,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/0477/production/_119834110_onepoitfive-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_uk-wales-58146128_img01.png,,
uk-wales-58146128,BBC News,IPCC,https://www.bbc.co.uk/news/uk-wales-58146128,,2,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/1284D/production/_119835857_spm1_b-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_uk-wales-58146128_img02.png,,
world-43789527,BBC News,"""carbon dioxide""",https://www.bbc.co.uk/news/world-43789527,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/1294E/production/_100901167_co2-infographic-part2.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_world-43789527_img01.png,"Image caption, Underground, the CO2 solution comes into contact with basalt and turns into white, chalky calcites that fill the pores of the rock",
world-58064485,BBC News,IPCC,https://www.bbc.co.uk/news/world-58064485,,1,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/14AB7/production/_119836648_spm8_d-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_world-58064485_img01.png,,
world-58064485,BBC News,IPCC,https://www.bbc.co.uk/news/world-58064485,,2,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/649D/production/_119875752_ipcc_climat_maps_2x640-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_world-58064485_img02.png,,
world-59156491,BBC News,"""global warming""",https://www.bbc.co.uk/news/live/world-59156491,,1,https://ichef.bbci.co.uk/ace/standard/640/cpsprodpb/vivo/live/images/2021/11/4/626f1616-02c4-4ffb-8898-25daeac7981b.png.webp,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_world-59156491_img01.webp,,
world-59156491,BBC News,"""global warming""",https://www.bbc.co.uk/news/live/world-59156491,,2,https://ichef.bbci.co.uk/ace/standard/640/cpsprodpb/vivo/live/images/2021/11/4/c7d860a5-230a-4519-822e-771bc6aa47b6.png.webp,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_world-59156491_img02.webp,,
world-europe-36255749,BBC News,"""sea level""",https://www.bbc.co.uk/news/world-europe-36255749,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/1103E/production/_89649696_64e50834-ed40-4335-ad1e-fd79686949ec.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_world-europe-36255749_img01.jpg,"Image caption, The research shows eroding coastlines of the Solomon Islands over nearly 70 years",
world-europe-36255749,BBC News,"""sea level""",https://www.bbc.co.uk/news/world-europe-36255749,,2,https://ichef.bbci.co.uk/ace/standard/925/cpsprodpb/4CEE/production/_89649691_89649690.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_world-europe-36255749_img02.jpg,,
world-us-canada-44067797,BBC News,"""greenhouse gas""",https://www.bbc.co.uk/news/world-us-canada-44067797,,1,https://ichef.bbci.co.uk/ace/standard/624/cpsprodpb/799A/production/_96303113_077d89ab-5ae7-4f40-b004-b89dab11f71b.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_world-us-canada-44067797_img01.jpg,,
